rally_uid,sex,match,numberGame,rally_id,strikeNumber,scoreSelf,scoreOther,serverGetPoint,gamePlayerId,gamePlayerOtherId,strikeId,handId,strengthId,spinId,pointId,actionId,positionId
1,2,1,1,1,1,0,0,0,1,2,1,1,2,3,9,15,1
1,2,1,1,1,2,0,0,0,2,1,2,2,1,2,5,12,1
1,2,1,1,1,3,0,0,0,1,2,4,2,2,2,6,10,0
1,2,1,1,1,4,0,0,0,2,1,4,2,1,2,5,10,0
1,2,1,1,1,5,0,0,0,1,2,4,2,2,2,6,10,0
1,2,1,1,1,6,0,0,0,2,1,4,2,1,2,5,10,0
1,2,1,1,1,7,0,0,0,1,2,4,2,2,2,6,10,0
1,2,1,1,1,8,0,0,0,2,1,4,2,1,2,5,10,0
1,2,1,1,1,9,0,0,0,1,2,4,2,2,2,6,10,0
1,2,1,1,1,10,0,0,0,2,1,4,2,1,2,5,10,0
1,2,1,1,1,11,0,0,0,1,2,4,2,2,2,6,10,0
1,2,1,1,1,12,0,0,0,2,1,4,2,1,2,4,10,0
1,2,1,1,1,13,0,0,0,1,2,4,2,1,2,9,10,0
1,2,1,1,1,14,0,0,0,2,1,4,1,3,3,9,3,0
1,2,1,1,1,15,0,0,0,1,2,4,0,0,0,0,0,0
2,2,1,1,2,1,0,1,1,1,2,1,1,2,3,9,15,1
2,2,1,1,2,2,1,0,1,2,1,2,2,1,2,8,12,1
2,2,1,1,2,3,0,1,1,1,2,4,1,2,2,7,3,0
2,2,1,1,2,4,1,0,1,2,1,4,2,0,0,0,13,0
3,2,1,1,3,1,1,1,0,2,1,1,2,3,4,9,15,1
3,2,1,1,3,2,1,1,0,1,2,2,2,2,3,9,6,1
3,2,1,1,3,3,1,1,0,2,1,4,2,1,2,3,12,0
3,2,1,1,3,4,1,1,0,1,2,4,2,2,2,6,10,0
3,2,1,1,3,5,1,1,0,2,1,4,2,1,2,5,10,0
3,2,1,1,3,6,1,1,0,1,2,4,2,2,2,8,10,0
3,2,1,1,3,7,1,1,0,2,1,4,1,3,3,0,3,0
4,2,1,1,4,1,1,2,1,2,1,1,2,1,2,1,15,1
4,2,1,1,4,2,2,1,1,1,2,2,1,1,3,6,7,2
4,2,1,1,4,3,1,2,1,2,1,4,2,2,2,6,9,0
4,2,1,1,4,4,2,1,1,1,2,4,2,2,2,5,10,0
4,2,1,1,4,5,1,2,1,2,1,4,1,2,2,4,10,0
4,2,1,1,4,6,2,1,1,1,2,4,1,2,2,6,10,0
4,2,1,1,4,7,1,2,1,2,1,4,2,1,2,5,10,0
4,2,1,1,4,8,2,1,1,1,2,4,2,2,2,6,10,0
4,2,1,1,4,9,1,2,1,2,1,4,2,1,2,6,10,0
4,2,1,1,4,10,2,1,1,1,2,4,2,2,2,6,10,0
4,2,1,1,4,11,1,2,1,2,1,4,2,1,2,6,10,0
4,2,1,1,4,12,2,1,1,1,2,4,2,2,2,4,10,0
4,2,1,1,4,13,1,2,1,2,1,4,1,2,2,1,10,0
4,2,1,1,4,14,2,1,1,1,2,4,0,0,0,0,0,0
5,2,1,1,5,1,2,2,0,1,2,1,1,1,2,8,15,1
5,2,1,1,5,2,2,2,0,2,1,2,2,1,2,6,12,1
5,2,1,1,5,3,2,2,0,1,2,4,2,1,2,4,11,0
5,2,1,1,5,4,2,2,0,2,1,4,1,2,2,9,10,0
5,2,1,1,5,5,2,2,0,1,2,4,2,2,2,6,10,0
5,2,1,1,5,6,2,2,0,2,1,4,2,1,2,6,10,0
5,2,1,1,5,7,2,2,0,1,2,4,2,2,2,6,10,0
5,2,1,1,5,8,2,2,0,2,1,4,2,1,2,6,10,0
5,2,1,1,5,9,2,2,0,1,2,4,2,2,2,6,10,0
5,2,1,1,5,10,2,2,0,2,1,4,2,1,2,4,10,0
5,2,1,1,5,11,2,2,0,1,2,4,1,2,2,0,3,0
6,2,1,1,6,1,2,3,0,1,2,1,1,2,2,4,15,1
6,2,1,1,6,2,3,2,0,2,1,2,1,2,2,8,10,2
6,2,1,1,6,3,2,3,0,1,2,4,2,2,2,0,10,0
7,2,1,1,7,1,4,2,0,2,1,1,2,2,5,9,15,1
7,2,1,1,7,2,2,4,0,1,2,2,2,2,2,9,10,1
7,2,1,1,7,3,4,2,0,2,1,4,2,1,2,0,10,0
8,2,1,1,8,1,4,3,1,2,1,1,2,2,5,6,15,1
8,2,1,1,8,2,3,4,1,1,2,2,2,2,2,6,10,1
8,2,1,1,8,3,4,3,1,2,1,4,2,2,2,8,10,0
8,2,1,1,8,4,3,4,1,1,2,4,2,2,2,6,10,0
8,2,1,1,8,5,4,3,1,2,1,4,2,1,2,5,10,0
8,2,1,1,8,6,3,4,1,1,2,4,2,2,2,4,10,0
8,2,1,1,8,7,4,3,1,2,1,4,1,3,3,7,3,0
8,2,1,1,8,8,3,4,1,1,2,4,1,0,0,0,13,0
9,2,1,1,9,1,3,5,1,1,2,1,1,1,2,8,15,1
9,2,1,1,9,2,5,3,1,2,1,2,2,1,2,8,12,1
9,2,1,1,9,3,3,5,1,1,2,4,2,2,2,6,10,0
9,2,1,1,9,4,5,3,1,2,1,4,2,2,2,6,10,0
9,2,1,1,9,5,3,5,1,1,2,4,2,2,2,6,10,0
9,2,1,1,9,6,5,3,1,2,1,4,2,1,2,6,10,0
9,2,1,1,9,7,3,5,1,1,2,4,2,2,2,6,10,0
9,2,1,1,9,8,5,3,1,2,1,4,2,1,2,8,10,0
9,2,1,1,9,9,3,5,1,1,2,4,1,3,2,8,3,0
9,2,1,1,9,10,5,3,1,2,1,4,1,0,3,0,5,0
10,2,1,1,10,1,4,5,1,1,2,1,1,1,2,8,15,1
10,2,1,1,10,2,5,4,1,2,1,2,2,2,2,8,12,1
10,2,1,1,10,3,4,5,1,1,2,4,2,2,2,5,10,0
10,2,1,1,10,4,5,4,1,2,1,4,1,2,2,4,10,0
10,2,1,1,10,5,4,5,1,1,2,4,1,2,2,5,10,0
10,2,1,1,10,6,5,4,1,2,1,4,2,1,2,0,10,0
11,2,1,1,11,1,5,5,1,2,1,1,2,2,5,9,15,1
11,2,1,1,11,2,5,5,1,1,2,2,2,2,2,6,10,1
11,2,1,1,11,3,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,4,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,5,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,6,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,7,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,8,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,9,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,10,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,11,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,12,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,13,5,5,1,2,1,4,2,1,2,6,10,0
11,2,1,1,11,14,5,5,1,1,2,4,2,2,2,6,10,0
11,2,1,1,11,15,5,5,1,2,1,4,2,1,2,5,10,0
11,2,1,1,11,16,5,5,1,1,2,4,2,1,2,7,10,0
11,2,1,1,11,17,5,5,1,2,1,4,1,2,3,9,3,0
11,2,1,1,11,18,5,5,1,1,2,4,0,0,0,0,0,0
12,2,1,1,12,1,6,5,1,2,1,1,1,2,5,6,18,1
12,2,1,1,12,2,5,6,1,1,2,2,2,2,2,6,10,1
12,2,1,1,12,3,6,5,1,2,1,4,2,1,2,5,10,0
12,2,1,1,12,4,5,6,1,1,2,4,2,2,2,6,10,0
